scheme,window,replicate,w,S_GC,N,mean_k
block,Post-transition,17,50,0.8400597907324364,3345,3.513303437967115
block,Post-transition,17,75,0.787633262260128,2345,3.0140724946695094
block,Post-transition,17,100,0.7597613882863341,1844,2.646420824295011
block,Post-transition,17,150,0.7094430992736077,1239,2.29862792574657
block,Post-transition,17,200,0.6604189636163176,907,2.079382579933848
block,Post-transition,17,300,0.5575221238938053,565,1.808849557522124
block,Post-transition,17,400,0.4057971014492754,414,1.5845410628019323
block,Post-transition,17,600,0.16595744680851063,235,1.4382978723404256
block,Post-transition,17,800,0.0935672514619883,171,1.286549707602339
block,Post-transition,18,25,0.899063670411985,5340,4.67378277153558
block,Post-transition,18,50,0.8527106466361855,3062,3.4761593729588505
block,Post-transition,18,75,0.8017163504968383,2214,2.92773261065944
block,Post-transition,18,100,0.7644628099173554,1694,2.615112160566706
block,Post-transition,18,150,0.6724436741767764,1154,2.195840554592721
block,Post-transition,18,200,0.6646415552855407,823,2.0558930741190764
block,Post-transition,18,300,0.5361216730038023,526,1.817490494296578
block,Post-transition,18,400,0.37017994858611825,389,1.5938303341902313
block,Post-transition,18,600,0.12264150943396226,212,1.4339622641509433
block,Post-transition,18,800,0.10738255033557047,149,1.2751677852348993
block,Post-transition,19,25,0.907051282051282,5616,4.844373219373219
block,Post-transition,19,50,0.8487730061349693,3260,3.4877300613496933
block,Post-transition,19,75,0.7983767620674925,2341,2.9636907304570697
block,Post-transition,19,100,0.7577433628318584,1808,2.6360619469026547
block,Post-transition,19,150,0.6972402597402597,1232,2.2694805194805197
block,Post-transition,19,200,0.6607538802660754,902,2.0931263858093128
block,Post-transition,19,300,0.5341726618705036,556,1.7949640287769784
block,Post-transition,19,400,0.42105263157894735,418,1.6411483253588517
block,Post-transition,19,600,0.1774891774891775,231,1.4285714285714286
block,Post-transition,19,800,0.08982035928143713,167,1.2694610778443114
block,Post-transition,20,25,0.8975356679636836,5397,4.715582731146934
block,Post-transition,20,50,0.8465675419171148,3161,3.4248655488769377
block,Post-transition,20,75,0.800453514739229,2205,2.949659863945578
block,Post-transition,20,100,0.7590778097982709,1735,2.6063400576368876
block,Post-transition,20,150,0.7097872340425532,1175,2.2604255319148936
block,Post-transition,20,200,0.6414201183431952,845,2.0284023668639053
block,Post-transition,20,300,0.5065913370998116,531,1.8041431261770244
block,Post-transition,20,400,0.37755102040816324,392,1.6122448979591837
block,Post-transition,20,600,0.11818181818181818,220,1.4363636363636363
block,Post-transition,20,800,0.10493827160493827,162,1.271604938271605
block,Post-transition,21,25,0.8989055833797069,5391,4.59654980523094
block,Post-transition,21,50,0.8400261181847861,3063,3.3992817499183805
block,Post-transition,21,75,0.7923827217835578,2153,2.919647004180214
block,Post-transition,21,100,0.7636146020347098,1671,2.5505685218432075
block,Post-transition,21,150,0.6844919786096256,1122,2.237076648841355
block,Post-transition,21,200,0.6139315230224321,847,2.014167650531287
block,Post-transition,21,300,0.5038910505836576,514,1.7782101167315174
block,Post-transition,21,400,0.4194373401534527,391,1.5959079283887467
block,Post-transition,21,600,0.10900473933649289,211,1.3744075829383886
block,Post-transition,21,800,0.09090909090909091,154,1.2467532467532467
block,Post-transition,22,25,0.8997568730129044,5347,4.707686553207406
block,Post-transition,22,50,0.8468497576736672,3095,3.4332794830371567
block,Post-transition,22,75,0.7924784775713638,2207,2.9433620299048484
