scheme,window,w,S_GC,lo,hi,mean_k,N
hypergeometric,Post-transition,75,0.7919962439624784,0.7850330566999183,0.7973856775155758,2.9548147655073143,2229.36
hypergeometric,Post-transition,100,0.7545869523249271,0.7491636334110032,0.7640854395190092,2.5815870062922968,1737.96
hypergeometric,Post-transition,150,0.696789224667556,0.6862172597793267,0.7078683647371992,2.2321359275527555,1183.28
hypergeometric,Post-transition,200,0.6631500943653489,0.6428659766097594,0.6806585612968592,2.0636911030536624,854.52
hypergeometric,Post-transition,300,0.5212336958479127,0.5048887637285272,0.5408055780630304,1.799848390348225,531.52
hypergeometric,Post-transition,400,0.4122255293484407,0.38232267432684114,0.442349985505846,1.6094022899222267,394.64
hypergeometric,Post-transition,600,0.1470369740319172,0.11796791443850267,0.164685182857861,1.4393854900709864,220.6
hypergeometric,Post-transition,800,0.10196405021388134,0.09202453987730061,0.11860619555451385,1.2918380542942187,160.08
hypergeometric,Pre-transition,25,0.8916460363097829,0.8877185090979219,0.8956416302729783,4.383265818453614,5521.04
hypergeometric,Pre-transition,50,0.825824451386877,0.8185592953759044,0.8335666757484939,3.2290069291456023,3156.64
hypergeometric,Pre-transition,75,0.7817225819926308,0.7762764609660658,0.7894834470089529,2.7539924957781245,2225.2
hypergeometric,Pre-transition,100,0.7480885055378481,0.7387984031866324,0.7571702507372765,2.451363736578358,1686.56
hypergeometric,Pre-transition,150,0.6234999255985926,0.6148462743148644,0.6351130704019599,2.0849567598398626,1112.44
hypergeometric,Pre-transition,200,0.552651631101174,0.5182128276276489,0.574726609963548,1.8810488497049511,823.76
hypergeometric,Pre-transition,300,0.41115234057406114,0.3898580121703854,0.42856268281069315,1.6642481239148,485.52
hypergeometric,Pre-transition,400,0.32089053790838734,0.30903614457831324,0.3294478527607362,1.4996473766491314,329.84
hypergeometric,Pre-transition,600,0.17721270235179368,0.17270045446089244,0.18123791102514508,1.3560858746217759,191.44
hypergeometric,Pre-transition,800,0.13957848492002334,0.12183779240790027,0.1761864406779661,1.3260437379522654,117.76
multinomial,Neutral,25,0.8794818849159951,0.8704447424209939,0.8834905810867962,4.225936375849481,5238.92
multinomial,Neutral,50,0.8274797759794318,0.820927148414476,0.8327375685518726,3.1570864173084976,2983.48
multinomial,Neutral,75,0.779057629263292,0.7664158224794984,0.7891434258741781,2.684844139341125,2066.96
multinomial,Neutral,100,0.7256367237470782,0.7107646011787404,0.7417390565835164,2.3910957368294086,1589.64
multinomial,Neutral,150,0.6138370080374539,0.5969631080157396,0.6290396772393351,2.049588120965247,1043.72
multinomial,Neutral,200,0.5371785059594645,0.5222827225130889,0.5537428201183052,1.8169356188928487,756.72
multinomial,Neutral,300,0.3559340993202009,0.3017780883608976,0.3929495745129756,1.583377961878048,476.96
multinomial,Neutral,400,0.18835769057987442,0.16790123456790124,0.20759539453854964,1.4594737240824756,318.92
multinomial,Neutral,600,0.0995205700058486,0.06173258003766478,0.1260032840722496,1.289808009856879,174.72
multinomial,Neutral,800,0.08803519591423131,0.08152334152334152,0.09469901168014376,1.2700334309416799,108.6
multinomial,Post-transition,25,0.9021753077666556,0.8969328179642923,0.9082498939048327,4.740098058899823,5409.48
multinomial,Post-transition,50,0.8453888399373227,0.8378907167474344,0.8538893865853713,3.4688973306226507,3141.88
