scheme,w,contrast,n_replicates,mean_difference,ci_lo,ci_hi,share_positive
binomial,800,Post-transition - Neutral,25,0.01116353321035346,-0.005206274929055793,0.029344073647871116,0.8
binomial,800,Post-transition - Pre-transition,25,-0.04455203252911047,-0.08684213037194938,-0.013376357093590047,0.0
binomial,800,Pre-transition - Neutral,25,0.05571556573946393,0.031128832934270493,0.0913821472645002,1.0
binomial_full,25,Post-transition - Neutral,25,0.024690151746373803,0.02109402515969161,0.028102968367973324,1.0
binomial_full,25,Post-transition - Pre-transition,25,0.017320451882586956,0.0096557287318634,0.023304527918405493,1.0
binomial_full,25,Pre-transition - Neutral,25,0.007369699863786847,0.001158638212125318,0.014417988607284781,1.0
binomial_full,50,Post-transition - Neutral,25,0.03078301498004386,0.02390458731455867,0.04063223637823497,1.0
binomial_full,50,Post-transition - Pre-transition,25,0.03348746231183883,0.026158347866476063,0.041694920419786285,1.0
binomial_full,50,Pre-transition - Neutral,25,-0.0027044473317949656,-0.0121263058981665,0.010033461441779318,0.2
binomial_full,75,Post-transition - Neutral,25,0.023807917687858483,0.012420202283231662,0.03328159240398687,1.0
binomial_full,75,Post-transition - Pre-transition,25,0.02486905202348898,0.012044226554925607,0.03782454161266197,1.0
binomial_full,75,Pre-transition - Neutral,25,-0.0010611343356305002,-0.010073286549128469,0.008295473979639114,0.4
binomial_full,100,Post-transition - Neutral,25,0.040355129261055375,0.029243126419894284,0.05256654762864714,1.0
binomial_full,100,Post-transition - Pre-transition,25,0.020671026550506347,0.005014294001961451,0.03610580448060493,1.0
binomial_full,100,Pre-transition - Neutral,25,0.01968410271054903,0.0037110004772898052,0.03442934842541569,1.0
binomial_full,150,Post-transition - Neutral,25,0.10347110163738706,0.08585788429975452,0.11952051075722665,1.0
binomial_full,150,Post-transition - Pre-transition,25,0.09492320420575828,0.08146046182849039,0.10625426662043795,1.0
binomial_full,150,Pre-transition - Neutral,25,0.00854789743162876,-0.013040284471038843,0.02264711962598699,0.84
binomial_full,200,Post-transition - Neutral,25,0.13766836627687595,0.12410215638740965,0.15636566644850716,1.0
binomial_full,200,Post-transition - Pre-transition,25,0.12229316290928577,0.10112572661164457,0.16971523438071018,1.0
binomial_full,200,Pre-transition - Neutral,25,0.015375203367590195,-0.022233456204003674,0.0332300095726617,0.92
binomial_full,300,Post-transition - Neutral,25,0.19293667632765474,0.1753116838993788,0.20658520967788171,1.0
binomial_full,300,Post-transition - Pre-transition,25,0.1476733909261667,0.12793418686028457,0.16779026968394276,1.0
binomial_full,300,Pre-transition - Neutral,25,0.04526328540148803,0.023186403827783,0.06643038868646377,1.0
binomial_full,400,Post-transition - Neutral,25,0.2685221980221342,0.24305923579327743,0.28969620079550135,1.0
binomial_full,400,Post-transition - Pre-transition,25,0.1385195210277081,0.1168407098301484,0.1645645520786904,1.0
binomial_full,400,Pre-transition - Neutral,25,0.1300026769944261,0.11694631854557935,0.14549762032596528,1.0
binomial_full,600,Post-transition - Neutral,25,0.052033868708914015,0.03712078873466203,0.0845974177097247,1.0
binomial_full,600,Post-transition - Pre-transition,25,-0.01710621046605604,-0.02685591693225282,5.725748467605039e-05,0.04
binomial_full,600,Pre-transition - Neutral,25,0.06914007917497007,0.053977016839459484,0.09363187473612024,1.0
binomial_full,800,Post-transition - Neutral,25,0.029513421255146905,0.011816916430159618,0.040675779265346865,1.0
binomial_full,800,Post-transition - Pre-transition,25,-0.014381666614409696,-0.04668372549575349,0.009057995803685461,0.24
binomial_full,800,Pre-transition - Neutral,25,0.04389508786955661,0.020776732845698358,0.07774097657275227,1.0
block,25,Post-transition - Neutral,25,0.02314173635212951,0.0113036668982045,0.03639593129238429,1.0
block,25,Post-transition - Pre-transition,25,0.012101763810696062,-0.0026833487658463493,0.03146644319677479,0.92
block,25,Pre-transition - Neutral,25,0.011039972541433447,-0.0027199629673549937,0.02533427522045492,0.92
block,50,Post-transition - Neutral,25,0.023145712082875934,0.004325784092664575,0.04900823702916699,1.0
block,50,Post-transition - Pre-transition,25,0.013956427232055781,-0.005353057172230669,0.03399800720325149,0.92
block,50,Pre-transition - Neutral,25,0.009189284850820151,-0.0060400000951573276,0.03243710915778639,0.88
block,75,Post-transition - Neutral,25,0.0134358648097041,-0.008271761554496715,0.04289296011407038,0.84
block,75,Post-transition - Pre-transition,25,0.010704673420208364,-0.01897525655676724,0.03739118475333264,0.76
block,75,Pre-transition - Neutral,25,0.002731191389495735,-0.024811534076893228,0.02484666651463583,0.68
block,100,Post-transition - Neutral,25,0.024617322681657616,0.0011592000123379358,0.061006970825898364,0.96
block,100,Post-transition - Pre-transition,25,0.014975134438926094,-0.012907397190948775,0.04383682986593509,0.84
block,100,Pre-transition - Neutral,25,0.009642188242731522,-0.021517161694329934,0.041650451380798634,0.68
block,150,Post-transition - Neutral,25,0.08155801750024545,0.05088094824948546,0.1144130323628374,1.0
block,150,Post-transition - Pre-transition,25,0.061855832077134194,0.011771234249840013,0.10823860019009189,1.0
block,150,Pre-transition - Neutral,25,0.019702185423111272,-0.0234239302901204,0.0718654804165999,0.76
block,200,Post-transition - Neutral,25,0.13436311766308198,0.08031833125199724,0.20276726242792426,1.0
block,200,Post-transition - Pre-transition,25,0.0869100995257183,0.03694498050040353,0.16203371002841407,1.0
block,200,Pre-transition - Neutral,25,0.04745301813736368,-0.018719662289685645,0.12366195873968304,0.88
block,300,Post-transition - Neutral,25,0.16327553533573308,0.11076972874078041,0.2189685014273343,1.0
block,300,Post-transition - Pre-transition,25,0.11265427064467305,0.03875810439364098,0.17450652850959958,0.96
block,300,Pre-transition - Neutral,25,0.05062126469106002,-0.027516213327279344,0.12372016115289096,0.88
block,400,Post-transition - Neutral,25,0.2070216124466311,0.12743531732834812,0.2737386446787149,1.0
block,400,Post-transition - Pre-transition,25,0.09533885508757615,0.02569143880739288,0.19011784638370377,1.0
block,400,Pre-transition - Neutral,25,0.11168275735905495,0.02574493665013308,0.17206081115958993,1.0
block,600,Post-transition - Neutral,25,0.035929206800556834,-0.0141138845618283,0.10836680194632822,0.84
block,600,Post-transition - Pre-transition,25,-0.03890502494300973,-0.10664785756973495,0.0323150755446544,0.16
block,600,Pre-transition - Neutral,25,0.07483423174356657,0.03456386985213693,0.12764468102733528,1.0
block,800,Post-transition - Neutral,25,0.029537777119294905,0.004441068235935508,0.05544350492763318,1.0
block,800,Post-transition - Pre-transition,25,-0.0446851565862432,-0.10161117828082705,0.006124465222952387,0.04
block,800,Pre-transition - Neutral,25,0.0742229337055381,0.018618343889279847,0.12293455137029155,1.0
hypergeometric,25,Post-transition - Neutral,25,0.021279575969877756,0.016436094408239853,0.026052131123443265,1.0
hypergeometric,25,Post-transition - Pre-transition,25,0.010711478132408692,0.005149240841773461,0.01683241527076653,1.0
hypergeometric,25,Pre-transition - Neutral,25,0.010568097837469063,0.003679655197537124,0.017303727301442362,1.0
hypergeometric,50,Post-transition - Neutral,25,0.016043917583970124,0.006878519604917632,0.024456418033724114,1.0
hypergeometric,50,Post-transition - Pre-transition,25,0.017885647884541465,0.007127174280496429,0.027040282497491835,1.0
hypergeometric,50,Pre-transition - Neutral,25,-0.0018417303005713404,-0.010474586608039349,0.006812616560314219,0.4
hypergeometric,75,Post-transition - Neutral,25,0.009071479170350059,-0.0019664024737173543,0.01921493298480772,0.92
hypergeometric,75,Post-transition - Pre-transition,25,0.01027366196984763,-0.002564290954569869,0.01967264684595287,0.96
hypergeometric,75,Pre-transition - Neutral,25,-0.001202182799497571,-0.009985228735228713,0.01123649216638025,0.4
hypergeometric,100,Post-transition - Neutral,25,0.028231195863633932,0.015380957571472087,0.039231800691912656,1.0
hypergeometric,100,Post-transition - Pre-transition,25,0.0064984467870789955,-0.005181879842308912,0.02130412484864154,0.8
hypergeometric,100,Pre-transition - Neutral,25,0.021732749076554935,0.0070584047033212865,0.033900537502890946,1.0
hypergeometric,150,Post-transition - Neutral,25,0.08660444612886269,0.07029562233728266,0.10110759597468374,1.0
