fecha,promedio_normalizado,indice_cti,Data,Temporalidad
2016-01-31,0.046417914984741,100.046417914985,Medios,Diario
2016-02-01,-0.463220462645135,99.5367795373549,Medios,Diario
2016-02-02,0.295628479735834,100.295628479736,Medios,Diario
2016-02-03,0.111248111517678,100.111248111518,Medios,Diario
2016-02-04,-0.553825055926604,99.4461749440734,Medios,Diario
2016-02-05,-0.917982138953887,99.0820178610461,Medios,Diario
2016-02-06,0.718220678766196,100.718220678766,Medios,Diario
2016-02-07,-0.144230120210521,99.8557698797895,Medios,Diario
2016-02-08,-0.0148310441158098,99.9851689558842,Medios,Diario
2016-02-09,-0.266996844847305,99.7330031551527,Medios,Diario
2016-02-10,0.533903352222743,100.533903352223,Medios,Diario
2016-02-11,0.131005196898257,100.131005196898,Medios,Diario
2016-02-12,-0.0427402860039129,99.9572597139961,Medios,Diario
2016-02-13,-0.574534702098611,99.4254652979014,Medios,Diario
2016-02-14,-0.239714880610317,99.7602851193897,Medios,Diario
2016-02-15,-0.870871359023807,99.1291286409762,Medios,Diario
2016-02-16,-0.549820696602695,99.4501793033973,Medios,Diario
2016-02-17,-0.693285969148952,99.3067140308511,Medios,Diario
2016-02-18,-0.5543940004545,99.4456059995455,Medios,Diario
2016-02-19,-0.488110837913205,99.5118891620868,Medios,Diario
2016-02-20,0.0356272026486459,100.035627202649,Medios,Diario
2016-02-21,-0.0964893916610386,99.903510608339,Medios,Diario
2016-02-22,0.0762185693907576,100.076218569391,Medios,Diario
2016-02-23,-0.0474768533984166,99.9525231466016,Medios,Diario
2016-02-24,-0.30596705843016,99.6940329415698,Medios,Diario
2016-02-25,0.234500401668826,100.234500401669,Medios,Diario
2016-02-26,0.0479170755621912,100.047917075562,Medios,Diario
2016-02-27,-0.605820127569996,99.39417987243,Medios,Diario
2016-02-28,-0.502611208630218,99.4973887913698,Medios,Diario
2016-02-29,0.128682487760618,100.128682487761,Medios,Diario
2016-03-01,-0.366808739050611,99.6331912609494,Medios,Diario
2016-03-02,-0.15412998681889,99.8458700131811,Medios,Diario
2016-03-03,-0.00612173353988554,99.9938782664601,Medios,Diario
2016-03-04,-0.76366877004195,99.2363312299581,Medios,Diario
2016-03-05,0.411425182453687,100.411425182454,Medios,Diario
2016-03-06,-0.473207794115408,99.5267922058846,Medios,Diario
2016-03-07,-0.284954526883653,99.7150454731164,Medios,Diario
2016-03-08,-0.259905327110821,99.7400946728892,Medios,Diario
2016-03-09,-0.767284441459025,99.232715558541,Medios,Diario
2016-03-10,-0.705003608170761,99.2949963918293,Medios,Diario
2016-03-11,0.278769726215331,100.278769726215,Medios,Diario
2016-03-12,0.0906221654837386,100.090622165484,Medios,Diario
2016-03-13,0.806356066939741,100.80635606694,Medios,Diario
2016-03-14,-0.110788032532388,99.8892119674676,Medios,Diario
2016-03-15,-0.751717339918372,99.2482826600816,Medios,Diario
2016-03-16,-0.212670467906344,99.7873295320937,Medios,Diario
2016-03-17,-0.0119727194045917,99.9880272805954,Medios,Diario
2016-03-18,-0.494605365431414,99.5053946345686,Medios,Diario
2016-03-19,-0.36036818269158,99.6396318173084,Medios,Diario
2016-03-20,-0.979234083075836,99.0207659169242,Medios,Diario
2016-03-21,-0.449585480277718,99.5504145197223,Medios,Diario
2016-03-22,-0.0294934435486192,99.9705065564514,Medios,Diario
2016-03-23,-0.054588925015291,99.9454110749847,Medios,Diario
2016-03-24,-0.414078446933011,99.585921553067,Medios,Diario
2016-03-25,-1.2622185608869,98.7377814391131,Medios,Diario
2016-03-26,0.336536792415001,100.336536792415,Medios,Diario
2016-03-27,-1.18545054549167,98.8145494545083,Medios,Diario
2016-03-28,-0.315417558462083,99.6845824415379,Medios,Diario
2016-03-29,-0.407976065258807,99.5920239347412,Medios,Diario
2016-03-30,-0.698695531260331,99.3013044687397,Medios,Diario
2016-03-31,-0.0442815913043372,99.9557184086957,Medios,Diario
2016-04-01,-0.576445324090589,99.4235546759094,Medios,Diario
2016-04-02,-0.76386441429079,99.2361355857092,Medios,Diario
2016-04-03,-1.18231177310889,98.8176882268911,Medios,Diario
2016-04-04,-0.122035249382285,99.8779647506177,Medios,Diario
2016-04-05,-0.252692059779795,99.7473079402202,Medios,Diario
2016-04-06,-0.243970818801094,99.7560291811989,Medios,Diario
2016-04-07,0.355462445595391,100.355462445595,Medios,Diario
2016-04-08,-0.0596734031170784,99.9403265968829,Medios,Diario
2016-04-09,-0.17911906001205,99.820880939988,Medios,Diario
2016-04-10,0.208157678598232,100.208157678598,Medios,Diario
2016-04-11,-0.420075855625293,99.5799241443747,Medios,Diario
2016-04-12,-0.152427590964367,99.8475724090356,Medios,Diario
2016-04-13,-0.643673468209107,99.3563265317909,Medios,Diario
2016-04-14,-0.480927624944639,99.5190723750554,Medios,Diario
2016-04-15,-0.590835051003315,99.4091649489967,Medios,Diario
2016-04-16,-0.72578415304465,99.2742158469554,Medios,Diario
2016-04-17,-0.590898675606544,99.4091013243935,Medios,Diario
2016-04-18,-1.11322947749299,98.886770522507,Medios,Diario
2016-04-19,-0.279904870246385,99.7200951297536,Medios,Diario
2016-04-20,-0.335575629376522,99.6644243706235,Medios,Diario
2016-04-21,-0.0584878498749819,99.941512150125,Medios,Diario
2016-04-22,0.0315869959644047,100.031586995964,Medios,Diario
2016-04-23,0.000834606956416106,100.000834606956,Medios,Diario
2016-04-24,0.750887509066959,100.750887509067,Medios,Diario
2016-04-25,-0.261854938501372,99.7381450614986,Medios,Diario
2016-04-26,-0.675582127055864,99.3244178729442,Medios,Diario
2016-04-27,-0.857105204203931,99.1428947957961,Medios,Diario
2016-04-28,-0.00693856565077506,99.9930614343492,Medios,Diario
2016-04-29,-0.711697795761498,99.2883022042385,Medios,Diario
2016-04-30,0.450214708502388,100.450214708502,Medios,Diario
2016-05-01,-1.006513359928,98.993486640072,Medios,Diario
2016-05-02,-0.492271687626739,99.5077283123733,Medios,Diario
2016-05-03,-0.0784297016780942,99.9215702983219,Medios,Diario
2016-05-04,-0.119089168355756,99.8809108316443,Medios,Diario
2016-05-05,0.197517466144096,100.197517466144,Medios,Diario
2016-05-06,-0.131335101984393,99.8686648980156,Medios,Diario
2016-05-07,-0.471523458497328,99.5284765415027,Medios,Diario
2016-05-08,-0.0535531518100712,99.9464468481899,Medios,Diario
2016-05-09,-0.908722878392647,99.0912771216074,Medios,Diario
2016-05-10,-0.783886891243014,99.216113108757,Medios,Diario
2016-05-11,-0.110151531613852,99.8898484683862,Medios,Diario
2016-05-12,-0.626139802119764,99.3738601978802,Medios,Diario
2016-05-13,-0.232334627994708,99.7676653720053,Medios,Diario
2016-05-14,-0.263168923513159,99.7368310764868,Medios,Diario
2016-05-15,0.414601629766548,100.414601629767,Medios,Diario
2016-05-16,-0.97927878840694,99.0207212115931,Medios,Diario
2016-05-17,-0.17509950405077,99.8249004959492,Medios,Diario
2016-05-18,0.106055986651438,100.106055986651,Medios,Diario
